page_id,persona,wcag,wcag_label,source,snippet_id,html_path,firstpass_label,firstpass_reason
P001,ade,2.4.3,passed,hand,ha-2-4-3-pass-01-natural-dom-order,corpus1/ade/2.4.3/passed/ha-2-4-3-pass-01-natural-dom-order.html,No-Barrier,Interactive elements present and appear keyboard-operable.
P002,ade,2.5.5,passed,hand,ha-2-5-5-pass-01-large-buttons,corpus1/ade/2.5.5/passed/ha-2-5-5-pass-01-large-buttons.html,No-Barrier,Interactive elements present and appear keyboard-operable.
P003,ade,2.5.5,passed,hand,ha-2-5-5-pass-02-icon-with-padding,corpus1/ade/2.5.5/passed/ha-2-5-5-pass-02-icon-with-padding.html,No-Barrier,Interactive elements present and appear keyboard-operable.
P004,ade,2.5.5,failed,hand,ha-2-5-5-fail-02-short-buttons,corpus1/ade/2.5.5/failed/ha-2-5-5-fail-02-short-buttons.html,No-Barrier,Interactive elements present and appear keyboard-operable.
P005,ade,2.1.1,failed,ACT,5fa34d0a7eea03109cd12c0e7c21fce793c268db,corpus1/ade/2.1.1/failed/5fa34d0a7eea03109cd12c0e7c21fce793c268db.html,Not-Encountered,No interactive elements; keyboard access is moot.
P006,ade,2.5.5,failed,hand,ha-2-5-5-fail-01-tiny-icons,corpus1/ade/2.5.5/failed/ha-2-5-5-fail-01-tiny-icons.html,No-Barrier,Interactive elements present and appear keyboard-operable.
P007,ade,2.4.3,inapplicable,hand,ha-2-4-3-inap-01-static-content,corpus1/ade/2.4.3/inapplicable/ha-2-4-3-inap-01-static-content.html,Not-Encountered,No interactive elements; keyboard access is moot.
P008,ade,2.1.1,inapplicable,ACT,033e04cced5973596d9aa724feacb027d23b4c53,corpus1/ade/2.1.1/inapplicable/033e04cced5973596d9aa724feacb027d23b4c53.html,No-Barrier,Interactive elements present and appear keyboard-operable.
P009,ade,2.4.7,inapplicable,ACT,b12f1f45eef29c30197ca3bda79d793cd90eeadd,corpus1/ade/2.4.7/inapplicable/b12f1f45eef29c30197ca3bda79d793cd90eeadd.html,No-Barrier,Interactive elements present and appear keyboard-operable.
P010,elias,1.4.3,passed,ACT,04344f745bd9bad51292748e7893f146c045aae4,corpus1/elias/1.4.3/passed/04344f745bd9bad51292748e7893f146c045aae4.html,Not-Encountered,Minimal content; nothing Elias-relevant to evaluate.
P011,elias,2.4.8,passed,hand,ha-2-4-8-pass-01-breadcrumb-with-current,corpus1/elias/2.4.8/passed/ha-2-4-8-pass-01-breadcrumb-with-current.html,No-Barrier,"No pale text, motion, or reflow problem detectable."
P012,elias,1.4.12,passed,ACT,15905a239d6755102be6a60aa152ad963d5b1dbb,corpus1/elias/1.4.12/passed/15905a239d6755102be6a60aa152ad963d5b1dbb.html,Not-Encountered,Minimal content; nothing Elias-relevant to evaluate.
P013,elias,2.4.8,failed,hand,ha-2-4-8-fail-01-deep-page-no-trail,corpus1/elias/2.4.8/failed/ha-2-4-8-fail-01-deep-page-no-trail.html,Barrier,WCAG failure on an Elias-relevant criterion (contrast/reflow/location/motion).
P014,elias,1.4.3,failed,ACT,19123c99ec390011b87736827720d5e1e794bad2,corpus1/elias/1.4.3/failed/19123c99ec390011b87736827720d5e1e794bad2.html,Barrier,WCAG failure on an Elias-relevant criterion (contrast/reflow/location/motion).
P015,elias,1.4.3,failed,ACT,308839f424ef1d9dbb5aab0cd9079827ecb00895,corpus1/elias/1.4.3/failed/308839f424ef1d9dbb5aab0cd9079827ecb00895.html,Barrier,WCAG failure on an Elias-relevant criterion (contrast/reflow/location/motion).
P016,elias,2.4.8,inapplicable,hand,ha-2-4-8-inap-01-homepage,corpus1/elias/2.4.8/inapplicable/ha-2-4-8-inap-01-homepage.html,Not-Encountered,Minimal content; nothing Elias-relevant to evaluate.
P017,elias,2.2.2,inapplicable,ACT,0d1564a1311c77d8693a9f839e1d752df501d441,corpus1/elias/2.2.2/inapplicable/0d1564a1311c77d8693a9f839e1d752df501d441.html,Not-Encountered,Minimal content; nothing Elias-relevant to evaluate.
P018,elias,1.4.12,inapplicable,ACT,0f8063a09807c4bf8d5f7c796cbf0f2aa20e7e57,corpus1/elias/1.4.12/inapplicable/0f8063a09807c4bf8d5f7c796cbf0f2aa20e7e57.html,Not-Encountered,Minimal content; nothing Elias-relevant to evaluate.
P019,ian,3.1.4,passed,hand,ha-3-1-4-pass-01-abbr-with-title,corpus1/ian/3.1.4/passed/ha-3-1-4-pass-01-abbr-with-title.html,No-Barrier,Content appears clear and stable.
P020,ian,3.1.5,passed,hand,ha-3-1-5-pass-01-with-summary,corpus1/ian/3.1.5/passed/ha-3-1-5-pass-01-with-summary.html,No-Barrier,Content appears clear and stable.
P021,ian,3.1.4,passed,hand,ha-3-1-4-pass-02-first-use-expansion,corpus1/ian/3.1.4/passed/ha-3-1-4-pass-02-first-use-expansion.html,No-Barrier,Content appears clear and stable.
P022,ian,2.2.2,failed,ACT,8f0a05348afb0a218f3934157dad1b4d1673ea6a,corpus1/ian/2.2.2/failed/8f0a05348afb0a218f3934157dad1b4d1673ea6a.html,Barrier,WCAG failure on Ian-relevant criterion (structure/clarity/change/abbreviation).
P023,ian,2.4.6,failed,ACT,2f1d964151ff5269a6027371956ee3b4a4a23fe7,corpus1/ian/2.4.6/failed/2f1d964151ff5269a6027371956ee3b4a4a23fe7.html,Barrier,WCAG failure on Ian-relevant criterion (structure/clarity/change/abbreviation).
P024,ian,1.3.1,failed,ACT,0fd4574e8dd585f4cb14c20f9966bf94f2139ea9,corpus1/ian/1.3.1/failed/0fd4574e8dd585f4cb14c20f9966bf94f2139ea9.html,Barrier,WCAG failure on Ian-relevant criterion (structure/clarity/change/abbreviation).
P025,ian,3.1.5,inapplicable,hand,ha-3-1-5-inap-02-proper-names,corpus1/ian/3.1.5/inapplicable/ha-3-1-5-inap-02-proper-names.html,No-Barrier,Content appears clear and stable.
