page_id persona   wcag    wcag_label    file
P001    ade       2.4.3   passed        P001_ade.html
P002    ade       2.5.5   passed        P002_ade.html
P003    ade       2.5.5   passed        P003_ade.html
P004    ade       2.5.5   failed        P004_ade.html
P005    ade       2.1.1   failed        P005_ade.html
P006    ade       2.5.5   failed        P006_ade.html
P007    ade       2.4.3   inapplicable  P007_ade.html
P008    ade       2.1.1   inapplicable  P008_ade.html
P009    ade       2.4.7   inapplicable  P009_ade.html
P019    ian       3.1.4   passed        P019_ian.html
P020    ian       3.1.5   passed        P020_ian.html
P021    ian       3.1.4   passed        P021_ian.html
P022    ian       2.2.2   failed        P022_ian.html
P023    ian       2.4.6   failed        P023_ian.html
P024    ian       1.3.1   failed        P024_ian.html
P025    ian       3.1.5   inapplicable  P025_ian.html
P026    ian       2.2.2   inapplicable  P026_ian.html
P027    ian       3.1.4   inapplicable  P027_ian.html
