page_id persona   wcag    wcag_label    file
P010    elias     1.4.3   passed        P010_elias.html
P011    elias     2.4.8   passed        P011_elias.html
P012    elias     1.4.12  passed        P012_elias.html
P013    elias     2.4.8   failed        P013_elias.html
P014    elias     1.4.3   failed        P014_elias.html
P015    elias     1.4.3   failed        P015_elias.html
P016    elias     2.4.8   inapplicable  P016_elias.html
P017    elias     2.2.2   inapplicable  P017_elias.html
P018    elias     1.4.12  inapplicable  P018_elias.html
P028    lakshmi   2.1.1   passed        P028_lakshmi.html
P029    lakshmi   1.3.1   passed        P029_lakshmi.html
P030    lakshmi   4.1.2   passed        P030_lakshmi.html
P031    lakshmi   2.4.1   failed        P031_lakshmi.html
P032    lakshmi   4.1.2   failed        P032_lakshmi.html
P033    lakshmi   4.1.2   failed        P033_lakshmi.html
P034    lakshmi   4.1.2   inapplicable  P034_lakshmi.html
P035    lakshmi   4.1.2   inapplicable  P035_lakshmi.html
P036    lakshmi   1.3.1   inapplicable  P036_lakshmi.html
