page_id persona   wcag    wcag_label    file
P037    sophie    2.4.8   passed        P037_sophie.html
P038    sophie    3.3.1   passed        P038_sophie.html
P039    sophie    3.3.2   passed        P039_sophie.html
P040    sophie    3.1.4   failed        P040_sophie.html
P041    sophie    2.4.8   failed        P041_sophie.html
P042    sophie    2.2.1   failed        P042_sophie.html
P043    sophie    2.4.8   inapplicable  P043_sophie.html
P044    sophie    3.3.2   inapplicable  P044_sophie.html
P045    sophie    3.3.1   inapplicable  P045_sophie.html
P046    stefan    3.1.4   passed        P046_stefan.html
P047    stefan    2.4.5   passed        P047_stefan.html
P048    stefan    1.4.12  passed        P048_stefan.html
P049    stefan    2.4.6   failed        P049_stefan.html
P050    stefan    2.4.6   failed        P050_stefan.html
P051    stefan    2.2.2   failed        P051_stefan.html
P052    stefan    1.4.12  inapplicable  P052_stefan.html
P053    stefan    2.2.2   inapplicable  P053_stefan.html
P054    stefan    3.1.4   inapplicable  P054_stefan.html
