snippet_id,condition,persona,wcag_criterion,expected,predicted,severity,repetition,iteration_count,total_time_seconds,num_tool_calls,num_issues
1e3939d9f8e0f78f9c564ec6feb12cc5635c0acb,axe,ade,2.1.1,passed,failed,serious,0,1,8.44,1,3
1e3939d9f8e0f78f9c564ec6feb12cc5635c0acb,axe,ade,2.1.1,passed,failed,serious,1,1,4.9,1,3
1e3939d9f8e0f78f9c564ec6feb12cc5635c0acb,axe,ade,2.1.1,passed,failed,serious,2,1,4.99,1,3
1e3939d9f8e0f78f9c564ec6feb12cc5635c0acb,persona_llm,ade,2.1.1,passed,failed,critical,0,1,6.28,0,1
1e3939d9f8e0f78f9c564ec6feb12cc5635c0acb,persona_llm,ade,2.1.1,passed,failed,critical,1,1,2.66,0,1
1e3939d9f8e0f78f9c564ec6feb12cc5635c0acb,persona_llm,ade,2.1.1,passed,failed,critical,2,1,2.06,0,1
1e3939d9f8e0f78f9c564ec6feb12cc5635c0acb,persona_agent,ade,2.1.1,passed,failed,critical,0,2,31.95,4,1
1e3939d9f8e0f78f9c564ec6feb12cc5635c0acb,persona_agent,ade,2.1.1,passed,passed,N/A,1,2,20.37,4,0
1e3939d9f8e0f78f9c564ec6feb12cc5635c0acb,persona_agent,ade,2.1.1,passed,passed,N/A,2,2,20.09,4,0
270a22a8e4ce4d9f073e1484a0d807705207a1d7,axe,ade,2.1.1,passed,failed,moderate,0,1,4.43,1,2
270a22a8e4ce4d9f073e1484a0d807705207a1d7,axe,ade,2.1.1,passed,failed,moderate,1,1,4.46,1,2
270a22a8e4ce4d9f073e1484a0d807705207a1d7,axe,ade,2.1.1,passed,failed,moderate,2,1,4.4,1,2
270a22a8e4ce4d9f073e1484a0d807705207a1d7,persona_llm,ade,2.1.1,passed,passed,N/A,0,1,1.44,0,0
270a22a8e4ce4d9f073e1484a0d807705207a1d7,persona_llm,ade,2.1.1,passed,inapplicable,N/A,1,1,1.53,0,0
270a22a8e4ce4d9f073e1484a0d807705207a1d7,persona_llm,ade,2.1.1,passed,inapplicable,N/A,2,1,1.63,0,0
270a22a8e4ce4d9f073e1484a0d807705207a1d7,persona_agent,ade,2.1.1,passed,failed,serious,0,2,35.73,4,1
270a22a8e4ce4d9f073e1484a0d807705207a1d7,persona_agent,ade,2.1.1,passed,failed,serious,1,2,28.02,4,1
270a22a8e4ce4d9f073e1484a0d807705207a1d7,persona_agent,ade,2.1.1,passed,failed,serious,2,2,28.09,4,1
5fa34d0a7eea03109cd12c0e7c21fce793c268db,axe,ade,2.1.1,failed,failed,serious,0,1,4.5,1,3
5fa34d0a7eea03109cd12c0e7c21fce793c268db,axe,ade,2.1.1,failed,failed,serious,1,1,4.47,1,3
5fa34d0a7eea03109cd12c0e7c21fce793c268db,axe,ade,2.1.1,failed,failed,serious,2,1,4.47,1,3
5fa34d0a7eea03109cd12c0e7c21fce793c268db,persona_llm,ade,2.1.1,failed,failed,critical,0,1,2.28,0,1
5fa34d0a7eea03109cd12c0e7c21fce793c268db,persona_llm,ade,2.1.1,failed,failed,critical,1,1,2.3,0,1
5fa34d0a7eea03109cd12c0e7c21fce793c268db,persona_llm,ade,2.1.1,failed,failed,critical,2,1,2.35,0,1
5fa34d0a7eea03109cd12c0e7c21fce793c268db,persona_agent,ade,2.1.1,failed,failed,critical,0,2,30.32,4,1
5fa34d0a7eea03109cd12c0e7c21fce793c268db,persona_agent,ade,2.1.1,failed,failed,critical,1,2,27.5,4,1
5fa34d0a7eea03109cd12c0e7c21fce793c268db,persona_agent,ade,2.1.1,failed,failed,critical,2,2,31.67,4,1
62673162e22ee1e95e962522b1d1c3b549dbfc49,axe,ade,2.1.1,failed,failed,moderate,0,1,5.88,1,2
62673162e22ee1e95e962522b1d1c3b549dbfc49,axe,ade,2.1.1,failed,failed,moderate,1,1,5.87,1,2
62673162e22ee1e95e962522b1d1c3b549dbfc49,axe,ade,2.1.1,failed,failed,moderate,2,1,6.09,1,2
62673162e22ee1e95e962522b1d1c3b549dbfc49,persona_llm,ade,2.1.1,failed,failed,critical,0,1,2.68,0,1
62673162e22ee1e95e962522b1d1c3b549dbfc49,persona_llm,ade,2.1.1,failed,failed,critical,1,1,1.92,0,1
62673162e22ee1e95e962522b1d1c3b549dbfc49,persona_llm,ade,2.1.1,failed,failed,critical,2,1,3.55,0,1
62673162e22ee1e95e962522b1d1c3b549dbfc49,persona_agent,ade,2.1.1,failed,failed,critical,0,3,29.49,5,1
62673162e22ee1e95e962522b1d1c3b549dbfc49,persona_agent,ade,2.1.1,failed,failed,critical,1,3,27.44,5,1
62673162e22ee1e95e962522b1d1c3b549dbfc49,persona_agent,ade,2.1.1,failed,failed,critical,2,3,26.21,5,1
033e04cced5973596d9aa724feacb027d23b4c53,axe,ade,2.1.1,inapplicable,failed,moderate,0,1,5.39,1,2
033e04cced5973596d9aa724feacb027d23b4c53,axe,ade,2.1.1,inapplicable,failed,moderate,1,1,5.28,1,2
033e04cced5973596d9aa724feacb027d23b4c53,axe,ade,2.1.1,inapplicable,failed,moderate,2,1,5.25,1,2
033e04cced5973596d9aa724feacb027d23b4c53,persona_llm,ade,2.1.1,inapplicable,inapplicable,N/A,0,1,1.48,0,0
033e04cced5973596d9aa724feacb027d23b4c53,persona_llm,ade,2.1.1,inapplicable,inapplicable,N/A,1,1,1.54,0,0
033e04cced5973596d9aa724feacb027d23b4c53,persona_llm,ade,2.1.1,inapplicable,inapplicable,N/A,2,1,1.43,0,0
033e04cced5973596d9aa724feacb027d23b4c53,persona_agent,ade,2.1.1,inapplicable,inapplicable,N/A,0,2,23.96,4,0
033e04cced5973596d9aa724feacb027d23b4c53,persona_agent,ade,2.1.1,inapplicable,inapplicable,N/A,1,2,22.32,4,0
033e04cced5973596d9aa724feacb027d23b4c53,persona_agent,ade,2.1.1,inapplicable,inapplicable,N/A,2,2,25.29,4,0
17a371c470316dc29e424101065ebfe9f7b2e990,axe,ade,2.1.1,inapplicable,failed,moderate,0,1,5.51,1,2
17a371c470316dc29e424101065ebfe9f7b2e990,axe,ade,2.1.1,inapplicable,failed,moderate,1,1,5.35,1,2
17a371c470316dc29e424101065ebfe9f7b2e990,axe,ade,2.1.1,inapplicable,failed,moderate,2,1,5.28,1,2
17a371c470316dc29e424101065ebfe9f7b2e990,persona_llm,ade,2.1.1,inapplicable,inapplicable,N/A,0,1,1.46,0,0
17a371c470316dc29e424101065ebfe9f7b2e990,persona_llm,ade,2.1.1,inapplicable,inapplicable,N/A,1,1,1.62,0,0
17a371c470316dc29e424101065ebfe9f7b2e990,persona_llm,ade,2.1.1,inapplicable,inapplicable,N/A,2,1,1.38,0,0
17a371c470316dc29e424101065ebfe9f7b2e990,persona_agent,ade,2.1.1,inapplicable,inapplicable,N/A,0,2,22.9,4,0
17a371c470316dc29e424101065ebfe9f7b2e990,persona_agent,ade,2.1.1,inapplicable,inapplicable,N/A,1,2,22.57,4,0
17a371c470316dc29e424101065ebfe9f7b2e990,persona_agent,ade,2.1.1,inapplicable,inapplicable,N/A,2,2,22.58,4,0
49d79a4e4e4a994a8eb7cf2eaf59c99d2251cac5,axe,ade,2.2.1,passed,failed,moderate,0,1,14.77,1,1
49d79a4e4e4a994a8eb7cf2eaf59c99d2251cac5,axe,ade,2.2.1,passed,failed,moderate,1,1,14.78,1,1
49d79a4e4e4a994a8eb7cf2eaf59c99d2251cac5,axe,ade,2.2.1,passed,failed,moderate,2,1,14.61,1,1
49d79a4e4e4a994a8eb7cf2eaf59c99d2251cac5,persona_llm,ade,2.2.1,passed,failed,serious,0,1,2.23,0,1
49d79a4e4e4a994a8eb7cf2eaf59c99d2251cac5,persona_llm,ade,2.2.1,passed,failed,serious,1,1,2.14,0,1
49d79a4e4e4a994a8eb7cf2eaf59c99d2251cac5,persona_llm,ade,2.2.1,passed,failed,serious,2,1,2.04,0,1
49d79a4e4e4a994a8eb7cf2eaf59c99d2251cac5,persona_agent,ade,2.2.1,passed,failed,serious,0,2,14.95,1,1
49d79a4e4e4a994a8eb7cf2eaf59c99d2251cac5,persona_agent,ade,2.2.1,passed,failed,serious,1,2,14.44,1,1
