======================================================================
A11yAgents evaluation
======================================================================
Loading corpus from corpus1/ ...
  180 snippets loaded
Instantiating conditions ...
Total evaluations to run: 1620

[1e3939d9f8e0f78f9c564ec6feb12cc5635c0acb] persona=ade, wcag=2.1.1, expected=passed
  [Condition A warning] axe output has no `tags` field. Running unfiltered baseline. To enable criterion filtering, patch tools/axe_core_agent.py per the docstring in this file.
  axe rep 1/3: predicted=failed, progress=1/1620
  axe rep 2/3: predicted=failed, progress=2/1620
  axe rep 3/3: predicted=failed, progress=3/1620
  persona_llm rep 1/3: predicted=failed, progress=4/1620
  persona_llm rep 2/3: predicted=failed, progress=5/1620
  persona_llm rep 3/3: predicted=failed, progress=6/1620
  persona_agent rep 1/3: predicted=passed, progress=7/1620
  persona_agent rep 2/3: predicted=passed, progress=8/1620
  persona_agent rep 3/3: predicted=passed, progress=9/1620
[270a22a8e4ce4d9f073e1484a0d807705207a1d7] persona=ade, wcag=2.1.1, expected=passed
  axe rep 1/3: predicted=failed, progress=10/1620
  axe rep 2/3: predicted=failed, progress=11/1620
  axe rep 3/3: predicted=failed, progress=12/1620
  persona_llm rep 1/3: predicted=passed, progress=13/1620
  persona_llm rep 2/3: predicted=passed, progress=14/1620
  persona_llm rep 3/3: predicted=passed, progress=15/1620
  persona_agent rep 1/3: predicted=failed, progress=16/1620
  persona_agent rep 2/3: predicted=failed, progress=17/1620
  persona_agent rep 3/3: predicted=failed, progress=18/1620
[5fa34d0a7eea03109cd12c0e7c21fce793c268db] persona=ade, wcag=2.1.1, expected=failed
  axe rep 1/3: predicted=failed, progress=19/1620
  axe rep 2/3: predicted=failed, progress=20/1620
  axe rep 3/3: predicted=failed, progress=21/1620
  persona_llm rep 1/3: predicted=failed, progress=22/1620
  persona_llm rep 2/3: predicted=failed, progress=23/1620
  persona_llm rep 3/3: predicted=failed, progress=24/1620
  persona_agent rep 1/3: predicted=failed, progress=25/1620
  persona_agent rep 2/3: predicted=failed, progress=26/1620
  persona_agent rep 3/3: predicted=failed, progress=27/1620
